,Zipcode,Education (No Schooling)_2012,Education (High School)_2012,Education (GED)_2012,Education (Associate's)_2012,Education (Bachelor's)_2012,Education (Master's)_2012,Education (Master's)_2012,Education (Doctorate)_2012,Year_2012,Education (No Schooling)_2013,Education (High School)_2013,Education (GED)_2013,Education (Associate's)_2013,Education (Bachelor's)_2013,Education (Master's)_2013,Education (Master's)_2013,Education (Doctorate)_2013,Year_2013,Education (No Schooling)_2014,Education (High School)_2014,Education (GED)_2014,Education (Associate's)_2014,Education (Bachelor's)_2014,Education (Master's)_2014,Education (Master's)_2014,Education (Doctorate)_2014,Year_2014,Education (No Schooling)_2015,Education (High School)_2015,Education (GED)_2015,Education (Associate's)_2015,Education (Bachelor's)_2015,Education (Master's)_2015,Education (Master's)_2015,Education (Doctorate)_2015,Year_2015,Education (No Schooling)_2016,Education (High School)_2016,Education (GED)_2016,Education (Associate's)_2016,Education (Bachelor's)_2016,Education (Master's)_2016,Education (Master's)_2016,Education (Doctorate)_2016,Year_2016,Education (No Schooling)_2017,Education (High School)_2017,Education (GED)_2017,Education (Associate's)_2017,Education (Bachelor's)_2017,Education (Master's)_2017,Education (Master's)_2017,Education (Doctorate)_2017,Year_2017,Education (No Schooling)_2018,Education (High School)_2018,Education (GED)_2018,Education (Associate's)_2018,Education (Bachelor's)_2018,Education (Master's)_2018,Education (Master's)_2018,Education (Doctorate)_2018,Year_2018
0,78610,40.0,2859.0,606.0,1093.0,3750.0,1135.0,112.0,104.0,2012,34.0,3103.0,665.0,1182.0,3801.0,1211.0,97.0,155.0,2013,40.0,3401.0,717.0,1122.0,3991.0,1428.0,112.0,145.0,2014,51.0,3805.0,713.0,1224.0,4668.0,1364.0,66.0,242.0,2015,145.0,3554.0,922.0,1321.0,5012.0,1682.0,71.0,271.0,2016,149.0,3873.0,1087.0,1549.0,5332.0,1872.0,208.0,260.0,2017,161.0,4447.0,1050.0,1380.0,6014.0,2110.0,265.0,358.0,2018
1,78613,122.0,5852.0,998.0,3123.0,13532.0,3759.0,781.0,513.0,2012,78.0,5730.0,1114.0,3437.0,14141.0,4377.0,802.0,514.0,2013,95.0,5901.0,1319.0,3464.0,14732.0,5041.0,896.0,578.0,2014,115.0,6227.0,1277.0,3626.0,14815.0,5403.0,915.0,580.0,2015,171.0,6174.0,1488.0,3857.0,14935.0,5719.0,816.0,454.0,2016,206.0,6018.0,1550.0,4166.0,15978.0,6255.0,823.0,406.0,2017,241.0,6302.0,1645.0,4044.0,17266.0,6498.0,861.0,543.0,2018
2,78617,459.0,2564.0,735.0,503.0,1089.0,118.0,20.0,0.0,2012,474.0,2982.0,812.0,454.0,1270.0,227.0,12.0,0.0,2013,579.0,2953.0,1000.0,584.0,1172.0,243.0,70.0,17.0,2014,455.0,3414.0,913.0,632.0,1138.0,239.0,77.0,23.0,2015,563.0,3942.0,826.0,570.0,1093.0,328.0,64.0,27.0,2016,630.0,4102.0,773.0,628.0,1305.0,329.0,92.0,21.0,2017,581.0,4527.0,844.0,562.0,1360.0,200.0,97.0,24.0,2018
3,78641,328.0,5425.0,1430.0,2635.0,6670.0,1942.0,277.0,226.0,2012,405.0,5219.0,1381.0,2870.0,7161.0,2025.0,211.0,211.0,2013,527.0,5682.0,1351.0,2955.0,7370.0,2109.0,276.0,288.0,2014,341.0,5689.0,1262.0,3477.0,8093.0,2502.0,260.0,339.0,2015,395.0,5694.0,1345.0,3722.0,8961.0,3044.0,486.0,441.0,2016,532.0,6255.0,1154.0,3707.0,9855.0,3348.0,517.0,415.0,2017,630.0,6415.0,1308.0,3986.0,11041.0,3576.0,595.0,519.0,2018
4,78652,27.0,685.0,46.0,180.0,1049.0,247.0,17.0,3.0,2012,25.0,713.0,51.0,164.0,1271.0,313.0,22.0,10.0,2013,41.0,748.0,68.0,142.0,1370.0,293.0,41.0,29.0,2014,43.0,682.0,54.0,201.0,1416.0,252.0,38.0,21.0,2015,79.0,692.0,54.0,213.0,1011.0,278.0,89.0,78.0,2016,93.0,931.0,50.0,186.0,1115.0,297.0,118.0,99.0,2017,94.0,1083.0,26.0,313.0,1254.0,414.0,109.0,102.0,2018
5,78653,251.0,1981.0,348.0,708.0,1396.0,331.0,196.0,45.0,2012,278.0,1916.0,331.0,778.0,1744.0,391.0,145.0,42.0,2013,223.0,2205.0,596.0,947.0,1987.0,375.0,118.0,137.0,2014,380.0,2448.0,533.0,904.0,1872.0,398.0,63.0,128.0,2015,267.0,2428.0,598.0,932.0,2057.0,486.0,17.0,115.0,2016,203.0,2891.0,787.0,940.0,2507.0,522.0,38.0,153.0,2017,344.0,3145.0,770.0,1157.0,2398.0,688.0,71.0,147.0,2018
6,78660,474.0,7492.0,1332.0,4813.0,10597.0,3218.0,334.0,406.0,2012,660.0,8068.0,1518.0,4886.0,11731.0,4151.0,282.0,402.0,2013,573.0,8341.0,1623.0,4751.0,12366.0,4562.0,344.0,474.0,2014,722.0,8529.0,1613.0,5189.0,13168.0,4628.0,457.0,347.0,2015,747.0,8524.0,1868.0,5542.0,13781.0,4833.0,577.0,404.0,2016,810.0,10098.0,1859.0,5684.0,14758.0,4929.0,707.0,247.0,2017,918.0,10475.0,1950.0,6005.0,15392.0,4854.0,750.0,488.0,2018
7,78664,506.0,6014.0,1154.0,2495.0,7093.0,2063.0,279.0,233.0,2012,512.0,6602.0,1231.0,2509.0,7320.0,2212.0,439.0,332.0,2013,637.0,6714.0,1127.0,2792.0,7411.0,2404.0,379.0,283.0,2014,771.0,6506.0,1032.0,3105.0,7421.0,2515.0,412.0,346.0,2015,692.0,7372.0,1254.0,3320.0,7496.0,2789.0,452.0,342.0,2016,614.0,7332.0,1261.0,3374.0,8370.0,3104.0,389.0,292.0,2017,665.0,7440.0,1189.0,3597.0,9289.0,3212.0,302.0,291.0,2018
8,78681,207.0,4036.0,870.0,2650.0,10379.0,4082.0,579.0,496.0,2012,281.0,4230.0,923.0,2573.0,10708.0,4191.0,557.0,463.0,2013,299.0,4365.0,903.0,2481.0,11398.0,4066.0,650.0,497.0,2014,398.0,4230.0,1282.0,2661.0,11457.0,4068.0,640.0,490.0,2015,344.0,4214.0,1054.0,2621.0,12027.0,4557.0,569.0,504.0,2016,454.0,3858.0,1174.0,2932.0,12591.0,4644.0,717.0,535.0,2017,366.0,3813.0,1167.0,3276.0,12355.0,4699.0,860.0,499.0,2018
9,78701,38.0,319.0,40.0,100.0,1788.0,907.0,434.0,280.0,2012,33.0,361.0,20.0,75.0,1915.0,1092.0,507.0,282.0,2013,34.0,327.0,13.0,192.0,2049.0,1212.0,386.0,323.0,2014,65.0,292.0,20.0,178.0,2546.0,1312.0,461.0,382.0,2015,73.0,432.0,36.0,223.0,2623.0,1531.0,432.0,361.0,2016,135.0,447.0,52.0,306.0,2994.0,1327.0,520.0,346.0,2017,128.0,393.0,82.0,288.0,3891.0,1443.0,657.0,345.0,2018
